objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"TEN","335609","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","91901728","6.04136","7.23388","1.3125","2366","1855","thing","TEN","1","5","30","30","15","2021","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Teotihuacan: City of Gods","229853","10","15","0","1","0","0","0","0","0","0","0","2","Essen 2017 (demo) - from one of the designers of Grand Austria - part 2 of trilogy with Tzolk'in","","","","","45305350","7.63788","7.9191","3.774","72","21481","thing","Teotihuacan: City of Gods","1","4","120","120","90","2018","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","10","24","0","1","0","0","0","0","0","0","0","5","seems competitive and mean","","","","","38938250","8.27101","8.4147","3.2475","4","105251","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars: Ares Expedition","328871","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84051434","7.22888","7.77629","2.906","237","14057","thing","Terraforming Mars: Ares Expedition","1","4","60","60","45","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"That's Pretty Clever!","244522","0","11","0","1","0","0","0","0","0","0","0","3","","","","","","56168013","7.40941","7.61833","1.8867","141","28091","thing","That's Pretty Clever!","1","4","30","30","30","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Three Sisters","291845","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","91295730","5.95121","7.78128","2.8","2826","1573","thing","Three Sisters","1","4","60","60","30","2022","1,2,3,4","1,2,3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Tactics","272409","0","","0","1","0","0","0","0","0","0","0","3","","","","","","90042699","6.00312","6.87267","2.4783","2545","5001","thing","Tiny Epic Tactics","1","4","60","60","30","2019","1,2,3,4","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tobago","42215","0","4","0","1","0","0","0","0","0","0","0","3","OOP - cool treasure hunting game","","","","","45290696","6.88136","7.10637","2.1281","535","12832","thing","Tobago","2","4","60","60","60","2009","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Too Many Bones","192135","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","61536325","7.80495","8.4249","3.848","38","12239","thing","Too Many Bones","1","4","120","120","60","2017","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Trails of Tucana","283864","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","77451292","6.70238","7.46056","1.254","753","4509","thing","Trails of Tucana","1","8","15","15","15","2019","1,2,3,4,5,6,7,8","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trajan","102680","0","5","0","1","0","0","0","0","0","0","0","4","","","","","","38740727","7.51172","7.75811","3.652","102","18566","thing","Trajan","2","4","120","120","60","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trambahn","175293","0","3","0","1","0","0","0","0","0","0","0","4","","","","","","39735433","6.28183","6.9511","1.8242","1543","3564","thing","Trambahn","2","2","45","45","30","2015","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Treasure Island","242639","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","58356469","6.78416","7.28493","2.2667","636","8561","thing","Treasure Island","2","5","45","45","45","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Trek 12: Himalaya","303672","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","84051568","6.07499","6.99748","1.375","2242","1923","thing","Trek 12: Himalaya","1","50","30","30","15","2020","1,2,3,4,5,6,7,8,9,10","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trickerion: Legends of Illusion","163068","0","2","0","1","0","0","0","0","0","0","0","1","","Collector's Edition","","","","38929628","7.47242","7.94443","4.2203","117","12044","thing","Trickerion: Legends of Illusion","2","4","180","180","60","2015","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Trismegistus: The Ultimate Formula","281442","0","8","0","1","0","0","0","0","0","0","0","3","","","","","","66127780","6.73098","7.63914","4.1213","705","4612","thing","Trismegistus: The Ultimate Formula","1","4","120","120","90","2019","1,2,3","2","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Triumvirate","53168","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89211933","5.87083","6.68765","1.9254","3301","1018","thing","Triumvirate","2","2","30","30","20","2009","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsuro","16992","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","32056338","6.54756","6.66932","1.2317","988","36046","thing","Tsuro","2","8","20","20","15","2005","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tungaru","279198","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84050365","5.76414","7.10143","2.9524","4237","1066","thing","Tungaru","2","5","90","90","45","2020","2,3,4,5","","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tussie Mussie","257614","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","66126798","6.36956","6.96015","1.1096","1323","6357","thing","Tussie Mussie","2","4","30","30","20","2019","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Twice as Clever!","269210","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","91295734","7.04876","7.4869","2.3471","372","11491","thing","Twice as Clever!","1","4","30","30","30","2019","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tybor the Builder","234621","0","2","0","1","0","0","0","0","0","0","0","4","set in the world of Longsdale from Oh My Goods","","","","","45096458","6.10268","6.97171","2.0303","2124","2814","thing","Tybor the Builder","2","4","30","30","30","2017","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tzolk'in: The Mayan Calendar","126163","0","6","0","1","0","0","0","0","0","0","0","1","putting this here after a Dec. 2016 game spending spree....  ""It doesn't look like anything to me.""","","","","","39023620","7.73779","7.88705","3.6725","48","39466","thing","Tzolk'in: The Mayan Calendar","2","4","90","90","90","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ulm","191876","0","5","0","1","0","0","0","0","0","0","0","2","","","","","","39116625","6.46971","7.04153","2.7065","1142","4143","thing","Ulm","2","4","75","75","45","2016","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Underwater Cities","247763","0","8","0","1","0","0","0","0","0","0","0","4","Vladimir Suchy","","","","","51163303","7.7771","8.10419","3.5972","44","18125","thing","Underwater Cities","1","4","150","150","80","2018","1,2,3","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Unsettled","290484","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89215841","6.41733","8.25708","3.1333","1227","5208","thing","Unsettled","2","4","90","90","60","2021","1,2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vadoran Gardens","242149","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","68231869","5.74962","6.87742","2.2222","4409","989","thing","Vadoran Gardens","2","4","40","40","20","2019","2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Valeria: Card Kingdoms","170561","0","7","0","1","0","0","0","0","0","0","0","4","","","","","","39149558","6.88426","7.45724","2","528","7609","thing","Valeria: Card Kingdoms","1","5","45","45","30","2016","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Valletta","218920","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","40315159","6.18","7.00296","2.3514","1863","2228","thing","Valletta","2","4","80","80","40","2017","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Il Vecchio","119391","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","42208304","6.18227","6.91065","2.6126","1851","2438","thing","Il Vecchio","2","4","60","60","60","2012","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Viceroy","157526","0","2","0","1","0","0","0","0","0","0","0","2","Looks super fun","","","","","39733180","6.47418","6.81341","2.6441","1135","9280","thing","Viceroy","1","4","60","60","45","2014","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vikings","27173","0","6","0","1","0","0","0","0","0","0","0","2","","","","","","41023388","6.92161","7.24323","2.5424","490","7847","thing","Vikings","2","4","60","60","60","2007","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Village","104006","0","2","0","1","0","0","0","0","0","0","0","5","","","","","","38711219","7.33867","7.51352","3.0734","178","27620","thing","Village","2","4","90","90","60","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Villagers","241724","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","61496551","6.76171","7.25444","2.192","671","10616","thing","Villagers","1","5","60","60","30","2019","1,2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Villages of Valeria","180040","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","39116142","6.44439","7.03144","2.3421","1182","5486","thing","Villages of Valeria","1","5","60","60","30","2017","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vindication","224783","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","63187854","7.19203","7.82408","3.0588","258","8187","thing","Vindication","2","5","150","150","45","2018","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vinhos Deluxe Edition","175640","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","41930294","7.46218","8.16426","4.0584","122","9306","thing","Vinhos Deluxe Edition","1","4","135","135","60","2016","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Viscounts of the West Kingdom","296151","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","77450489","7.3673","7.96557","3.4433","162","12858","thing","Viscounts of the West Kingdom","1","4","90","90","60","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture: Complete Collector's Edition","156455","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","28096530","6.37662","8.36014","3.32","0","1585","thing","Viticulture: Complete Collector's Edition","1","6","90","90","45","2014","2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Vivid Memories","316090","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91295746","5.65628","7.01854","2.9259","5833","814","thing","Vivid Memories","2","4","45","45","30","2022","2,3,4","","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Voyages of Marco Polo","171623","0","11","0","1","0","0","0","0","0","0","0","1","reprint 2017?","","","","","38711257","7.63564","7.83533","3.1845","73","24339","thing","The Voyages of Marco Polo","2","4","100","100","40","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"De Vulgari Eloquentia: Deluxe Edition","275010","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","82641976","5.89325","7.93864","3.5217","3159","991","thing","De Vulgari Eloquentia: Deluxe Edition","2","5","120","120","90","2019","2,3,4,5","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Walnut Grove","103185","0","3","0","1","0","0","0","0","0","0","0","2","out of print","","","","","41799216","6.33811","6.97986","2.462","1401","2227","thing","Walnut Grove","1","4","60","60","30","2011","1,2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Welcome to the Moon","339789","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91901714","6.34534","8.22719","2.3929","1389","2868","thing","Welcome to the Moon","1","6","30","30","25","2021","1,2,3,4,5,6","1,2,3,4,5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Welcome To...","233867","0","26","0","1","0","0","0","0","0","0","0","3","","","","","","58029691","7.4189","7.5926","1.8251","138","35772","thing","Welcome To...","1","100","25","25","25","2018","1,2,3,4,5,6,7,8,9,10,11,12","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Werewords Deluxe Edition","245422","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","62336420","6.39736","7.57439","1.2222","1267","3135","thing","Werewords Deluxe Edition","2","20","10","10","10","2018","4,5,6,7,8,9,10,11,12","5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The West Kingdom Tomesaga","296152","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","77450984","5.90517","7.67437","3","0","4843","thing","The West Kingdom Tomesaga","2","6","240","240","60","2020","2,3","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"What's He Building in There?","137651","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84050351","5.71235","6.5968","3.3333","4891","685","thing","What's He Building in There?","2","6","60","60","60","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan","266192","0","14","0","1","0","0","0","0","0","0","0","3","","","","","","57565061","7.94494","8.09847","2.4412","23","89191","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Witchstone","318560","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","89214486","6.38837","7.75439","2.7018","1289","2183","thing","Witchstone","2","4","90","90","60","2021","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Würfelland","244994","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","77128384","5.70078","6.45842","1","5059","931","thing","Würfelland","2","4","20","20","20","2018","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Xenon Profiteer","176530","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","59243145","6.08038","7.22679","2.1304","2215","1365","thing","Xenon Profiteer","2","4","30","30","30","2015","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Yedo","117915","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","42139598","6.72431","7.36807","3.346","718","4445","thing","Yedo","2","5","180","180","120","2012","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Yokohama","196340","0","7","0","1","0","0","0","0","0","0","0","2","CSI May","","","","","39927336","7.47919","7.83973","3.2897","113","13202","thing","Yokohama","2","4","90","90","90","2016","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"ZhanGuo","160495","0","6","0","1","0","0","0","0","0","0","0","4","","","","","","39310473","6.80388","7.57015","3.8304","612","3834","thing","ZhanGuo","2","4","120","120","60","2014","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
